job_id,title,company,category,required_skills,min_experience,location,description
JOB_001,Lead Developer,Amazon,Software Engineering,"Python, Multithreading, C++, Java, AWS, Spring Boot, Linux",8,"Pune, India","Job Title: Lead Developer
    Company: Amazon
    Location: Pune, India
    Department: Software Engineering
    
    ABOUT THE ROLE
    We are looking for a talented and motivated Lead Developer to join our growing team. In this role, 
    you will design, build, and optimize solutions to push the boundaries of technology. You 
    will work closely with engineering, product, and business stakeholders.
    
    RESPONSIBILITIES
    - Develop, test, and maintain high-performance applications and services.
    - Write clean, maintainable, and efficient code/models.
    - Troubleshoot, debug, and upgrade existing systems.
    - Leverage technologies like Python, Multithreading, C++ to build scalable systems.
    - Participate in code reviews, technical architecture planning, and agile standups.
    
    REQUIREMENTS
    - Minimum 8 years of professional experience in Software Engineering or related fields.
    - Bachelor's or Master's degree in Computer Science, Business, or equivalent.
    - Strong proficiency in: Python, Multithreading, C++, Java, AWS, Spring Boot, Linux.
    - Excellent problem-solving skills and communication.
    
    BENEFITS
    - Competitive salary and health benefits.
    - Flexible working hours and remote work options.
    - Continuous learning and career development opportunities."
JOB_002,Software Engineer II,Netflix,Software Engineering,"Spring Boot, C++, Multithreading, REST APIs, Python, Microservices, Docker",2,"Remote, India","Job Title: Software Engineer II
    Company: Netflix
    Location: Remote, India
    Department: Software Engineering
    
    ABOUT THE ROLE
    We are looking for a talented and motivated Software Engineer II to join our growing team. In this role, 
    you will design, build, and optimize solutions to push the boundaries of technology. You 
    will work closely with engineering, product, and business stakeholders.
    
    RESPONSIBILITIES
    - Develop, test, and maintain high-performance applications and services.
    - Write clean, maintainable, and efficient code/models.
    - Troubleshoot, debug, and upgrade existing systems.
    - Leverage technologies like Spring Boot, C++, Multithreading to build scalable systems.
    - Participate in code reviews, technical architecture planning, and agile standups.
    
    REQUIREMENTS
    - Minimum 2 years of professional experience in Software Engineering or related fields.
    - Bachelor's or Master's degree in Computer Science, Business, or equivalent.
    - Strong proficiency in: Spring Boot, C++, Multithreading, REST APIs, Python, Microservices, Docker.
    - Excellent problem-solving skills and communication.
    
    BENEFITS
    - Competitive salary and health benefits.
    - Flexible working hours and remote work options.
    - Continuous learning and career development opportunities."
JOB_003,Senior Backend Engineer,TCS,Software Engineering,"AWS, Multithreading, SQL, Hibernate, PostgreSQL, Kubernetes, REST APIs",3,"Mumbai, India","Job Title: Senior Backend Engineer
    Company: TCS
    Location: Mumbai, India
    Department: Software Engineering
    
    ABOUT THE ROLE
    We are looking for a talented and motivated Senior Backend Engineer to join our growing team. In this role, 
    you will design, build, and optimize solutions to push the boundaries of technology. You 
    will work closely with engineering, product, and business stakeholders.
    
    RESPONSIBILITIES
    - Develop, test, and maintain high-performance applications and services.
    - Write clean, maintainable, and efficient code/models.
    - Troubleshoot, debug, and upgrade existing systems.
    - Leverage technologies like AWS, Multithreading, SQL to build scalable systems.
    - Participate in code reviews, technical architecture planning, and agile standups.
    
    REQUIREMENTS
    - Minimum 3 years of professional experience in Software Engineering or related fields.
    - Bachelor's or Master's degree in Computer Science, Business, or equivalent.
    - Strong proficiency in: AWS, Multithreading, SQL, Hibernate, PostgreSQL, Kubernetes, REST APIs.
    - Excellent problem-solving skills and communication.
    
    BENEFITS
    - Competitive salary and health benefits.
    - Flexible working hours and remote work options.
    - Continuous learning and career development opportunities."
JOB_004,Senior Backend Engineer,Wipro,Software Engineering,"Redis, Microservices, Docker, Multithreading, PostgreSQL, REST APIs",3,"Remote, India","Job Title: Senior Backend Engineer
    Company: Wipro
    Location: Remote, India
    Department: Software Engineering
    
    ABOUT THE ROLE
    We are looking for a talented and motivated Senior Backend Engineer to join our growing team. In this role, 
    you will design, build, and optimize solutions to push the boundaries of technology. You 
    will work closely with engineering, product, and business stakeholders.
    
    RESPONSIBILITIES
    - Develop, test, and maintain high-performance applications and services.
    - Write clean, maintainable, and efficient code/models.
    - Troubleshoot, debug, and upgrade existing systems.
    - Leverage technologies like Redis, Microservices, Docker to build scalable systems.
    - Participate in code reviews, technical architecture planning, and agile standups.
    
    REQUIREMENTS
    - Minimum 3 years of professional experience in Software Engineering or related fields.
    - Bachelor's or Master's degree in Computer Science, Business, or equivalent.
    - Strong proficiency in: Redis, Microservices, Docker, Multithreading, PostgreSQL, REST APIs.
    - Excellent problem-solving skills and communication.
    
    BENEFITS
    - Competitive salary and health benefits.
    - Flexible working hours and remote work options.
    - Continuous learning and career development opportunities."
JOB_005,Senior Backend Engineer,Amazon,Software Engineering,"Java, Docker, C++, Git, Kubernetes",8,"Remote, India","Job Title: Senior Backend Engineer
    Company: Amazon
    Location: Remote, India
    Department: Software Engineering
    
    ABOUT THE ROLE
    We are looking for a talented and motivated Senior Backend Engineer to join our growing team. In this role, 
    you will design, build, and optimize solutions to push the boundaries of technology. You 
    will work closely with engineering, product, and business stakeholders.
    
    RESPONSIBILITIES
    - Develop, test, and maintain high-performance applications and services.
    - Write clean, maintainable, and efficient code/models.
    - Troubleshoot, debug, and upgrade existing systems.
    - Leverage technologies like Java, Docker, C++ to build scalable systems.
    - Participate in code reviews, technical architecture planning, and agile standups.
    
    REQUIREMENTS
    - Minimum 8 years of professional experience in Software Engineering or related fields.
    - Bachelor's or Master's degree in Computer Science, Business, or equivalent.
    - Strong proficiency in: Java, Docker, C++, Git, Kubernetes.
    - Excellent problem-solving skills and communication.
    
    BENEFITS
    - Competitive salary and health benefits.
    - Flexible working hours and remote work options.
    - Continuous learning and career development opportunities."
JOB_006,Software Engineer II,TalentForge,Software Engineering,"Redis, Microservices, REST APIs, Python, Git, C++, AWS, Java",8,"Hyderabad, India","Job Title: Software Engineer II
    Company: TalentForge
    Location: Hyderabad, India
    Department: Software Engineering
    
    ABOUT THE ROLE
    We are looking for a talented and motivated Software Engineer II to join our growing team. In this role, 
    you will design, build, and optimize solutions to push the boundaries of technology. You 
    will work closely with engineering, product, and business stakeholders.
    
    RESPONSIBILITIES
    - Develop, test, and maintain high-performance applications and services.
    - Write clean, maintainable, and efficient code/models.
    - Troubleshoot, debug, and upgrade existing systems.
    - Leverage technologies like Redis, Microservices, REST APIs to build scalable systems.
    - Participate in code reviews, technical architecture planning, and agile standups.
    
    REQUIREMENTS
    - Minimum 8 years of professional experience in Software Engineering or related fields.
    - Bachelor's or Master's degree in Computer Science, Business, or equivalent.
    - Strong proficiency in: Redis, Microservices, REST APIs, Python, Git, C++, AWS, Java.
    - Excellent problem-solving skills and communication.
    
    BENEFITS
    - Competitive salary and health benefits.
    - Flexible working hours and remote work options.
    - Continuous learning and career development opportunities."
JOB_007,Senior Backend Engineer,Infosys,Software Engineering,"Git, REST APIs, Hibernate, System Design, Maven",4,"Bengaluru, India","Job Title: Senior Backend Engineer
    Company: Infosys
    Location: Bengaluru, India
    Department: Software Engineering
    
    ABOUT THE ROLE
    We are looking for a talented and motivated Senior Backend Engineer to join our growing team. In this role, 
    you will design, build, and optimize solutions to push the boundaries of technology. You 
    will work closely with engineering, product, and business stakeholders.
    
    RESPONSIBILITIES
    - Develop, test, and maintain high-performance applications and services.
    - Write clean, maintainable, and efficient code/models.
    - Troubleshoot, debug, and upgrade existing systems.
    - Leverage technologies like Git, REST APIs, Hibernate to build scalable systems.
    - Participate in code reviews, technical architecture planning, and agile standups.
    
    REQUIREMENTS
    - Minimum 4 years of professional experience in Software Engineering or related fields.
    - Bachelor's or Master's degree in Computer Science, Business, or equivalent.
    - Strong proficiency in: Git, REST APIs, Hibernate, System Design, Maven.
    - Excellent problem-solving skills and communication.
    
    BENEFITS
    - Competitive salary and health benefits.
    - Flexible working hours and remote work options.
    - Continuous learning and career development opportunities."
JOB_008,Java Software Engineer,TCS,Software Engineering,"SQL, Kubernetes, Git, System Design, Java, Python, Multithreading, Spring Boot",5,"Mumbai, India","Job Title: Java Software Engineer
    Company: TCS
    Location: Mumbai, India
    Department: Software Engineering
    
    ABOUT THE ROLE
    We are looking for a talented and motivated Java Software Engineer to join our growing team. In this role, 
    you will design, build, and optimize solutions to push the boundaries of technology. You 
    will work closely with engineering, product, and business stakeholders.
    
    RESPONSIBILITIES
    - Develop, test, and maintain high-performance applications and services.
    - Write clean, maintainable, and efficient code/models.
    - Troubleshoot, debug, and upgrade existing systems.
    - Leverage technologies like SQL, Kubernetes, Git to build scalable systems.
    - Participate in code reviews, technical architecture planning, and agile standups.
    
    REQUIREMENTS
    - Minimum 5 years of professional experience in Software Engineering or related fields.
    - Bachelor's or Master's degree in Computer Science, Business, or equivalent.
    - Strong proficiency in: SQL, Kubernetes, Git, System Design, Java, Python, Multithreading, Spring Boot.
    - Excellent problem-solving skills and communication.
    
    BENEFITS
    - Competitive salary and health benefits.
    - Flexible working hours and remote work options.
    - Continuous learning and career development opportunities."
JOB_009,Systems Architect,Wipro,Software Engineering,"Microservices, Multithreading, AWS, Git, Linux, Redis",3,"Remote, India","Job Title: Systems Architect
    Company: Wipro
    Location: Remote, India
    Department: Software Engineering
    
    ABOUT THE ROLE
    We are looking for a talented and motivated Systems Architect to join our growing team. In this role, 
    you will design, build, and optimize solutions to push the boundaries of technology. You 
    will work closely with engineering, product, and business stakeholders.
    
    RESPONSIBILITIES
    - Develop, test, and maintain high-performance applications and services.
    - Write clean, maintainable, and efficient code/models.
    - Troubleshoot, debug, and upgrade existing systems.
    - Leverage technologies like Microservices, Multithreading, AWS to build scalable systems.
    - Participate in code reviews, technical architecture planning, and agile standups.
    
    REQUIREMENTS
    - Minimum 3 years of professional experience in Software Engineering or related fields.
    - Bachelor's or Master's degree in Computer Science, Business, or equivalent.
    - Strong proficiency in: Microservices, Multithreading, AWS, Git, Linux, Redis.
    - Excellent problem-solving skills and communication.
    
    BENEFITS
    - Competitive salary and health benefits.
    - Flexible working hours and remote work options.
    - Continuous learning and career development opportunities."
JOB_010,Backend Developer,DataSystems,Software Engineering,"Spring Boot, Python, Microservices, Git, Linux, Java",8,"Mumbai, India","Job Title: Backend Developer
    Company: DataSystems
    Location: Mumbai, India
    Department: Software Engineering
    
    ABOUT THE ROLE
    We are looking for a talented and motivated Backend Developer to join our growing team. In this role, 
    you will design, build, and optimize solutions to push the boundaries of technology. You 
    will work closely with engineering, product, and business stakeholders.
    
    RESPONSIBILITIES
    - Develop, test, and maintain high-performance applications and services.
    - Write clean, maintainable, and efficient code/models.
    - Troubleshoot, debug, and upgrade existing systems.
    - Leverage technologies like Spring Boot, Python, Microservices to build scalable systems.
    - Participate in code reviews, technical architecture planning, and agile standups.
    
    REQUIREMENTS
    - Minimum 8 years of professional experience in Software Engineering or related fields.
    - Bachelor's or Master's degree in Computer Science, Business, or equivalent.
    - Strong proficiency in: Spring Boot, Python, Microservices, Git, Linux, Java.
    - Excellent problem-solving skills and communication.
    
    BENEFITS
    - Competitive salary and health benefits.
    - Flexible working hours and remote work options.
    - Continuous learning and career development opportunities."
